CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
41279,HON,299A,A,3,Outdoor Leadership in Maui,,TBA,Timothy Gordon Posey (P); David R. Sheehan,01/02-01/22,TBA
,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
40119,ISA,203,A,1,Supplementary Bus Statistics,,TBA,Patrick John Schur (P),01/02-01/21,WEB
40117,ISA,235,A,3,IT & Intelligent Enterprise,MTWR,10:00 am-11:45 am,Jay J. Palmisano (P),01/02-01/12,FSB 0038
,,,,,,MTWR,03:00 pm-04:25 pm,TBA,01/02-01/12,FSB 0038
,,,,,,TWRF,10:00 am-11:45 am,TBA,01/17-01/21,FSB 0038
,,,,,,TWRF,03:00 pm-04:25 pm,TBA,01/17-01/21,FSB 0038
40602,ISA,245,A,3,Database Systems,MTWR,10:00 am-11:45 am,Douglas Havelka (P),01/02-01/13,FSB 2050
,,,,,,MTWR,01:30 pm-03:00 pm,TBA,01/02-01/13,FSB 0028
,,,,,,TWRF,10:00 am-11:45 am,TBA,01/17-01/21,FSB 2050
,,,,,,TWRF,01:30 pm-03:00 pm,TBA,01/17-01/21,FSB 0028
40118,ISA,303,A,3,Enterprise Systems,,TBA,Zafer D. Ozdemir (P),01/02-01/21,WEB
41211,ISA,399C,A,3,Data Mgt. and Visualization,MTWRF,08:00 am-08:00 pm,T. M. Rajkumar (P); Kim I. Suellau,12/19-01/18,TBA
41133,ISA,401,OA,3,BI & Data Visualization,MTWR,02:00 pm-05:20 pm,Zafer D. Ozdemir (P),01/02-01/17,FSB 2050
,,,,,,TWRF,02:00 pm-05:20 pm,TBA,01/17-01/21,FSB 2050
,,,,,,,,,,
CRN,Subj,Crse,Sec,Cred,Title,Days,Time,Instructor,Date (MM/DD),Location
